t px py theta vx vy omega ax ay alpha 
0 0.0005099019203 0.007735849194 8.843357764e-11 0 0 -8.843357761e-06 0 0 -2.1681764e-10
0.0001 0.0005099019203 0.007735849194 1.956459383e-06 0 0 -0.1956452187 0 0 -0.1061177465
0.0002 0.0005099019203 0.007735849194 4.956123017e-06 0 0 -0.4956078362 0 0 -0.6809066353
0.0003 0.0005099019203 0.007735849194 1.243326863e-15 0 0 -0.833954276 0 0 -1.927518637
0.0004 0.0005099019203 0.007735849194 4.562741317e-16 0 0 -0.9337231132 0 0 -2.415673122
0.0005 0.0005099019203 0.007735849194 2.849703094e-16 0 0 -1.037053233 0 0 -2.979055608
0.0006 0.0005099019203 0.007735849194 -1.019250355e-15 0 0 -1.13619755 0 0 -3.574752013
0.0007 0.0005099019203 0.007735849194 2.040964098e-16 0 0 -1.144633507 0 0 -3.626810497
0.0008 0.0005099019203 0.007735849194 5.03735796e-17 0 0 -4.889063698 0 0 -66.10726002
0.0009 0.0005099019203 0.007735849194 -7.332484852e-16 0 0 -8.641259397 0 0 -206.0969513
0.001 0.0005099019203 0.007735849194 1.086213714e-15 0 0 -12.28532407 0 0 -415.2824188
0.0011 0.0005099019203 0.007735849194 1.520833098e-17 0 0 -15.80450301 0 0 -684.4398435
0.0012 0.0005099019203 0.007735849194 -1.548213789e-15 0 0 -19.18999914 0 0 -1003.912773
0.0013 0.0005099019203 0.007735849194 -1.478484217e-15 0 0 -22.43501839 0 0 -1363.83181
0.0014 0.0005099019203 0.007735849194 -6.743789897e-15 0 0 -25.53434271 0 0 -1754.406161
0.0015 0.0005099019203 0.007735849194 -1.018642245e-14 0 0 -28.4842521 0 0 -2166.189999
0.0016 0.0005099019203 0.007735849194 -1.333133632e-14 0 0 -31.28243094 0 0 -2590.303201
0.0017 0.0005099019203 0.007735849194 -1.80283033e-14 0 0 -33.92781952 0 0 -3018.593986
0.0018 0.0005099019203 0.007735849194 -2.157156909e-14 0 0 -36.42053721 0 0 -3443.764019
0.0019 0.0005099019203 0.007735849194 -2.708329832e-14 0 0 -38.76169428 0 0 -3859.430373
0.002 0.0005099019203 0.007735849194 -3.136641201e-14 0 0 -40.95323677 0 0 -4260.150436
0.0021 0.0005099019203 0.007735849194 -3.674683715e-14 0 0 -42.9978174 0 0 -4641.413725
0.0022 0.0005099019203 0.007735849194 -4.106024132e-14 0 0 -44.89861052 0 0 -4999.594575
0.0023 0.0005099019203 0.007735849194 -4.41252749e-14 0 0 -46.65922719 0 0 -5331.902058
0.0024 0.0005099019203 0.007735849194 -5.003684013e-14 0 0 -48.28354696 0 0 -5636.29702
0.0025 0.0005099019203 0.007735849194 -5.317652678e-14 0 0 -49.77566344 0 0 -5911.416348
0.0026 0.0005099019203 0.007735849194 -5.515420525e-14 0 0 -51.13077124 0 0 -6154.329217
0.0027 0.0005099019203 0.007735849194 -5.811636343e-14 0 0 -52.33663297 0 0 -6360.723801
0.0028 0.0005099019203 0.007735849194 -5.798634498e-14 0 0 -53.40116794 0 0 -6531.530373
0.0029 0.0005099019203 0.007735849194 -5.868515992e-14 0 0 -54.33051285 0 0 -6667.684925
0.003 0.0005099019203 0.007735849194 -5.846260757e-14 0 0 -55.13074519 0 0 -6770.47488
0.0031 0.0005099019203 0.007735849194 -5.741081833e-14 0 0 -55.80790858 0 0 -6841.474447
0.0032 0.0005099019203 0.007735849194 -5.418845751e-14 0 0 -56.3678965 0 0 -6882.448127
0.0033 0.0005099019203 0.007735849194 -5.404147506e-14 0 0 -56.81641528 0 0 -6895.290276
0.0034 0.0005099019203 0.007735849194 -5.04643284e-14 0 0 -57.158995 0 0 -6881.975954
0.0035 0.0005099019203 0.007735849194 -4.785274366e-14 0 0 -57.40092279 0 0 -6844.50971
0.0036 0.0005099019203 0.007735849194 -4.56855853e-14 0 0 -57.54726498 0 0 -6784.895026
0.0037 0.0005099019203 0.007735849194 -4.130595766e-14 0 0 -57.60280194 0 0 -6705.09442
0.0038 0.0005099019203 0.007735849194 -3.898168025e-14 0 0 -57.57198313 0 0 -6607.008237
0.0039 0.0005099019203 0.007735849194 -3.563547929e-14 0 0 -57.45880662 0 0 -6492.444973
0.004 0.0005099019203 0.007735849194 -3.069429671e-14 0 0 -57.26701807 0 0 -6363.131981
0.0041 0.0005099019203 0.007735849194 -2.963337804e-14 0 0 -57.00003828 0 0 -6220.696447
0.0042 0.0005099019203 0.007735849194 -2.6114175e-14 0 0 -56.66111877 0 0 -6066.686814
0.0043 0.0005099019203 0.007735849194 -2.17469412e-14 0 0 -56.25323778 0 0 -5902.548853
0.0044 0.0005099019203 0.007735849194 -2.036680372e-14 0 0 -55.77914718 0 0 -5729.635278
0.0045 0.0005099019203 0.007735849194 -1.693737945e-14 0 0 -55.24143604 0 0 -5549.215825
0.0046 0.0005099019203 0.007735849194 -1.469703659e-14 0 0 -54.64239836 0 0 -5362.455238
