t px py theta vx vy omega ax ay alpha 
0.0041 0.2566115594 -0.02228872992 -0.210325766 -1.873284728 3.427276036 -84.04627514 389.1974707 -27.61257512 4538.064139
0.0042 0.25642621 -0.02194622084 -0.2187059405 -1.833389298 3.422118762 -83.54009152 408.3114088 -75.35555496 5578.513729
0.0043 0.2562449416 -0.02160446407 -0.2270303735 -1.791704929 3.412248675 -82.93216268 425.0106413 -121.8933303 6573.895033
0.0044 0.2560679215 -0.02126392538 -0.2352890996 -1.748460896 3.397775206 -82.22662864 439.4906012 -167.3573067 7529.324819
0.0045 0.2558952947 -0.02092505973 -0.2434725557 -1.703872479 3.378804523 -81.42736511 451.9378534 -211.8764149 8449.710833
0.0046 0.2557271856 -0.02058831195 -0.2515715452 -1.658138824 3.3554344 -80.5378716 462.4195227 -255.3552912 9334.421308
0.0047 0.2555636993 -0.02025411718 -0.2595772113 -1.611446153 3.327759529 -79.5614116 471.1475895 -297.9946512 10189.84644
0.0048 0.2554049229 -0.01992290142 -0.2674810077 -1.563966435 3.295867902 -78.50093731 478.1824864 -339.6991311 11015.15097
0.0049 0.2552509272 -0.01959508209 -0.2752746714 -1.515859697 3.259844576 -77.35919093 483.7219899 -380.6658639 11816.38586
0.005 0.2551017674 -0.01927106849 -0.2829501981 -1.467272098 3.219766657 -76.138596 487.7541471 -420.6552476 12589.11173
0.0051 0.2549574551 -0.01895119604 -0.2905013782 -1.419399132 3.178095844 -74.89760164 465.579182 -403.1789043 12007.02188
0.0052 0.2548178077 -0.01863537336 -0.2979320518 -1.373895436 3.138640667 -73.72513601 444.7377852 -386.0834162 11448.17821
0.0053 0.2546826086 -0.01832341167 -0.3052482296 -1.33041326 3.100867942 -72.60728972 425.1207712 -369.4954774 10913.64195
0.0054 0.2545516616 -0.01801514526 -0.3124552539 -1.288833948 3.064727153 -71.5416906 406.6424836 -353.3828215 10401.62148
0.0055 0.254424782 -0.0177104132 -0.3195582411 -1.249047905 3.030172983 -70.52618657 389.2400872 -337.7513652 9911.318277
0.0056 0.2543017956 -0.01740905901 -0.3265620985 -1.210952608 2.997162195 -69.55876288 372.8279879 -322.5390365 9440.4352
0.0057 0.2541825382 -0.01711093046 -0.3334715386 -1.174452532 2.965654792 -68.63756091 357.3284492 -307.6868462 8986.836698
0.0058 0.2540668549 -0.01681587915 -0.3402910947 -1.13945744 2.935611016 -67.76080098 342.6971013 -293.2074453 8550.117793
0.0059 0.2539545993 -0.01652376049 -0.34702513 -1.105883539 2.906995335 -66.92686811 328.9067355 -279.1492635 8130.754624
0.006 0.2538456334 -0.01623443347 -0.3536778486 -1.073651876 2.879773479 -66.13423735 315.8553858 -265.355677 7724.554308
0.0061 0.2537398266 -0.01594776028 -0.3602533098 -1.04268818 2.853912967 -65.38148063 303.5249538 -251.8785668 7332.183099
0.0062 0.2536370557 -0.01566360633 -0.3667554336 -1.012922485 2.829382974 -64.66725886 291.8984796 -238.7699141 6954.339636
0.0063 0.2535372043 -0.01538184012 -0.3731880085 -0.9842887898 2.806154198 -63.9903147 280.888879 -225.8791403 6587.130536
0.0064 0.2534401623 -0.01510233291 -0.3795547029 -0.9567247199 2.784198737 -63.34946566 270.4861445 -213.2609171 6231.397678
0.0065 0.2533458256 -0.01482495866 -0.3858590711 -0.93017125 2.763489982 -62.74359823 260.6806416 -200.9697478 5887.998642
0.0066 0.2532540961 -0.01454959405 -0.392104557 -0.9045724524 2.744002525 -62.17166263 251.3970739 -188.8599708 5553.273473
0.0067 0.253164881 -0.01427611812 -0.3982945048 -0.8798752417 2.725712055 -61.63266755 242.631139 -176.9881924 5228.188323
0.0068 0.2530780927 -0.01400441239 -0.4044321601 -0.8560289657 2.70859463 -61.12566111 234.3678431 -165.3775697 4912.966272
0.0069 0.2529936484 -0.01373436062 -0.4105206786 -0.8329860355 2.692629234 -60.64978624 226.5729936 -153.9857891 4606.374323
0.007 0.2529114702 -0.01346584873 -0.4165631298 -0.8107004799 2.677793742 -60.20418735 219.2148731 -142.7715932 4307.227725
0.0071 0.2528314845 -0.0131987648 -0.4225625007 -0.7891284384 2.664066849 -59.78805216 212.2837154 -131.7601595 4015.85667
0.0072 0.252753622 -0.01293299889 -0.4285217013 -0.7682285695 2.651429965 -59.40065227 205.7799136 -121.0093666 3733.337077
0.0073 0.2526778177 -0.01266844304 -0.4344435667 -0.7479605571 2.639862586 -59.04123773 199.6477995 -110.3820999 3456.387252
0.0074 0.2526040101 -0.01240499116 -0.4403308627 -0.7282865023 2.629347454 -58.70915124 193.8908413 -99.93751541 3186.143661
0.0075 0.2525321418 -0.01214253899 -0.4461862878 -0.7091693203 2.619865322 -58.40370954 188.4765328 -89.60548991 2920.861899
0.0076 0.2524621448 -0.01188093094 -0.4520136584 -0.6910770844 2.613314678 -58.16691368 171.5783213 -33.80583908 1647.166547
0.0077 0.2523938687 -0.01161967579 -0.4578242196 -0.6746955078 2.61269662 -58.0649168 156.327029 21.28167226 397.6889957
0.0078 0.2523271573 -0.01135820873 -0.4636307776 -0.6597575292 2.617538598 -58.0864065 142.6938348 75.41668781 -823.1558765
0.0079 0.2522618741 -0.01109598802 -0.4694455498 -0.6461058136 2.627755586 -58.22877716 130.5995747 128.7706957 -2019.776857
0.008 0.2521978982 -0.01083248032 -0.4752804987 -0.6335865329 2.643264171 -58.4895162 120.031694 181.2874595 -3191.471163
0.0081 0.2521351239 -0.01056716068 -0.4811473364 -0.6220480399 2.663980214 -58.86614754 110.9839189 232.9074872 -4337.431286
0.0082 0.2520734607 -0.01029951254 -0.4870575314 -0.6113406949 2.689820954 -59.35627461 103.4132064 283.7557174 -5460.893855
