t x y 
0 1.35503145538001e-15 -1.65943493457511e-31
0 -71.5488430052182 -2.56609909759429
0 -72.1075161124209 -2.76941464581215
0 -72.6633084006545 -3.0191104582705
0 -73.2162198699188 -3.27576982480492
0 -73.7670736113483 -3.52028024593454
0 -74.3131945787573 -3.72273251174682
0 -74.8580809094654 -3.83974566524073
0 -75.4013210579058 -3.84443053356695
0 -75.9383880228406 -3.77897069041368
0 -76.4733972599404 -3.73664451735961
0 -77.0084064970403 -3.77023040156216
0 -77.5393002784704 -3.86565087154839
0 -78.0660786042305 -3.97471185683353
0 -78.5907992021555 -4.00192075111556
0 -79.1114043444105 -3.85751497625798
0 -79.6320094866656 -3.67678519777375
0 -80.1484991732505 -3.61574059174268
0 -80.6608734041659 -3.57046975618106
0 -81.1732476350804 -3.43717078064591
0 -81.6815064103258 -3.28800586427155
0 -82.1856497299001 -3.20516095230581
0 -82.6856775938058 -3.20549165221281
0 -83.1857054577107 -3.2085847189283
0 -83.6836755937809 -3.15209021739316
0 -84.1775302741809 -3.07717209027442
0 -84.6672694989105 -3.03290106169658
0 -85.1549509958054 -3.04843663559607
0 -85.6426324927003 -3.12691275731868
0 -86.1241408060901 -3.2449261111462
0 -86.6035913916452 -3.37519396113716
0 -87.080984249365 -3.49686612311645
0 -87.5542616514152 -3.60323926082167
0 -88.0254813256303 -3.69776585735227
0 -88.4925855441754 -3.78595723028739
0 -88.9596897627204 -3.87360430615436
0 -89.4226785255951 -3.96440042958346
0 -89.8815518328 -4.05906689327736
0 -90.3383674121703 -4.15646019681715
0 -90.7931252637051 -4.25495058406965
0 -91.2458253874053 -4.35292395214279
0 -91.6923523276003 -4.44910835325374
0 -92.1388792677953 -4.5437368006446
0 -92.5833484801549 -4.63729395820388
0 -93.0216445090103 -4.73028192463887
0 -93.4599405378653 -4.82367486029714
0 -93.8941211110502 -4.91750248174585
0 -94.3241862285651 -5.01125076215409
0 -94.75425134608 -5.10415389570639
0 -95.1802010079252 -5.19489962116334
0 -95.5999774862655 -5.28244208818489
0 -96.0341580594504 -5.36817283974179
0 -96.4457036264502 -5.45225489852523
0 -96.8572491934501 -5.53939442100096
0 -97.2687947604505 -5.6333443632845
0 -97.6597630491002 -5.73605697281786
0 -98.09188589445 -5.85011704635157
0 -98.5034314614502 -5.96335369797714
0 -98.8738224717503 -6.06085286118402
0 -99.28536803875 -6.13296240174561
0 -99.6969136057502 -6.16590538788913
0 -100.067304616051 -6.16382182816837
0 -100.4582729047 -6.16419251494119
0 -100.84924119335 -6.21256546732033
0 -101.21963220365 -6.35734132872553
0 -101.6106004923 -6.65240936225744
0 -102.001568780949 -7.10877101819368
0 -102.371959791249 -7.62346416587569
0 -102.74235080155 -7.95634931365499
0 -103.112741811851 -7.81313252268524
0 -103.483132822156 -7.08063267980749
0 -103.832946554108 -6.00957163841108
0 -104.203337564407 -4.97087543180826
0 -104.57372857471 -4.13883905773429
0 -104.902965028311 -3.52265383472899
0 -105.252778760254 -3.08316702945571
0 -105.62316977055 -2.77108144154919
0 -105.972983502506 -2.54165907783226
0 -106.3022199561 -2.36402204736316
0 -106.652033688051 -2.22005901403438
0 -107.001847420005 -2.0976301338873
0 -107.331083873606 -1.98981859606337
0 -107.6603203272 -1.89414161312319
0 -107.989556780797 -1.80923698344385
0 -108.298215956053 -1.73370517481043
0 -108.627452409658 -1.66722788670152
0 -108.9772661416 -1.6087279966126
0 -109.285925316848 -1.55615756800596
0 -109.594584492106 -1.5090786583701
0 -109.903243667347 -1.46661333291952
0 -110.211902842597 -1.42805599321063
0 -110.541139296204 -1.39312136471166
0 -110.829221193104 -1.36062513290124
0 -111.13788036835 -1.3310292150322
0 -111.446539543605 -1.30381012829084
0 -111.714044162162 -1.27826294026758
0 -112.022703337397 -1.25513240785254
0 -112.33136251265 -1.23374974330853
0 -112.598867131204 -1.21349710845767
0 -112.886949028098 -1.19489968283754
0 -113.175030925004 -1.17760017474527
0 -113.442535543554 -1.16127121108428
0 -113.730617440452 -1.14623741320639
0 -113.998122059 -1.13199281352863
0 -114.265626677544 -1.11866838364124
0 -114.533131296097 -1.10619383096476
0 -114.800635914651 -1.09450573179067
0 -115.068140533205 -1.08354650293501
0 -115.335645151752 -1.07326389818145
0 -115.582572491951 -1.06342022691436
0 -115.829499832155 -1.05416505680611
0 -116.097004450704 -1.04564559499533
0 -116.343931790891 -1.03745371217382
0 -116.570281852756 -1.02956060733186
0 -116.817209192955 -1.02230188624531
0 -117.064136533154 -1.01546782241194
0 -117.311063873357 -1.00903346718696
