t x y 
0.00073 -202.352872278976 -4902.81104093105
0.00074 -256.998918300341 -6221.7194199476
0.00075 -289.01184433267 -6994.36651188082
0.00076 -298.394684261179 -7220.82557134692
0.00077 -287.541456331659 -6958.87742505876
0.00078 -268.408828228421 -6497.10199723554
0.00079 -252.945499026289 -6123.88683914058
0.0008 -243.538962684166 -5896.85523923389
0.00081 -240.188289339009 -5815.98473344664
0.00082 -242.248905526032 -5865.71821151476
0.00083 -246.516724437946 -5968.72351327678
0.00084 -249.793357288121 -6047.80602464437
0.00085 -251.439708398788 -6087.54088031212
0.00086 -251.455134236775 -6087.91255823344
0.00087 -250.013747132109 -6053.12335073643
0.00088 -247.973572006534 -6003.8820918015
0.00089 -246.190429490677 -5960.84440565699
0.0009 -244.83566582855 -5928.14580991718
0.00091 -243.910116279601 -5905.80646108682
0.00092 -243.36648947349 -5892.68495765317
0.00093 -242.975152502296 -5883.23900490738
0.00094 -242.506812618089 -5871.93452093212
0.00095 -241.915925517895 -5857.67227530905
0.00096 -241.203274372366 -5840.47117191916
0.00097 -240.380645476556 -5820.61567986349
0.00098 -239.510141219123 -5799.60466831257
0.00099 -238.652567927458 -5778.90572459086
0.001 -237.820107886436 -5758.81287360172
0.00101 -237.013967824799 -5739.35524041869
0.00102 -236.230136502738 -5720.43601231611
0.00103 -235.452487946435 -5701.66598263824
0.00104 -234.66436467407 -5682.64311682912
0.00105 -233.862393826188 -5663.28601026721
0.00106 -233.047253878364 -5643.61103891823
0.00107 -232.219622042925 -5623.63454826741
0.00108 -231.384207200304 -5603.47018963038
0.00109 -230.545131906551 -5583.21746307345
0.0011 -229.703632157582 -5562.90620038782
0.00111 -228.859787880029 -5542.53833119645
0.00112 -228.013110074656 -5522.10205387448
0.00113 -227.163111484792 -5501.58560886666
0.00114 -226.308721760573 -5480.96316349876
0.00115 -225.448306321883 -5460.19526721802
0.00116 -224.583686543627 -5439.32588012688
0.00117 -223.715519793308 -5418.37086860699
0.00118 -222.842173480474 -5397.29083014639
0.00119 -221.964309269901 -5376.10173485775
0.0012 -221.082592707281 -5354.81964648898
0.00121 -220.197115267231 -5333.44677339277
0.00122 -219.307956807425 -5311.98504357295
0.00123 -218.420937375443 -5290.5749261324
0.00124 -217.524682352861 -5268.941891905
0.00125 -216.619308477576 -5247.08875912393
0.00126 -215.722049160156 -5225.43146147385
0.00127 -214.821535006595 -5203.6955959963
0.00128 -213.906452910575 -5181.60811856846
0.00129 -212.994037277281 -5159.5849866589
0.0013 -212.084333594845 -5137.62729858673
0.00131 -211.166041099179 -5115.46230822198
0.00132 -210.244956325394 -5093.22991692958
0.00133 -209.321155012874 -5070.93195329313
0.00134 -208.394728842513 -5048.57063060093
0.00135 -207.471450379013 -5026.28527142162
0.00136 -206.540012593637 -5003.8029788561
0.00137 -205.600545481202 -4981.12689104665
0.00138 -204.670151435614 -4958.66977798632
0.00139 -203.737532392551 -4936.1589592549
0.0014 -202.791459067723 -4913.32341480724
0.00141 -201.849040344454 -4890.57607098323
0.00142 -200.910315283274 -4867.91787089414
0.00143 -199.964062352616 -4845.07798174462
0.00144 -199.016025903205 -4822.19504483942
0.00145 -198.066287644595 -4799.27103276911
0.00146 -197.114928773008 -4776.30790572942
0.00147 -196.162027384005 -4753.30754908259
0.00148 -195.213301077852 -4730.40795813155
0.00149 -194.257543072648 -4707.33865660199
0.0015 -193.294869285179 -4684.10244284491
0.00151 -192.342226220945 -4661.10832247484
0.00152 -191.388414412156 -4638.08599588586
0.00153 -190.422294850939 -4614.76662312321
0.00154 -189.460820505333 -4591.5593654632
0.00155 -188.504020985679 -4568.46493783823
0.00156 -187.540768552376 -4545.21477239595
0.00157 -186.576750544732 -4521.94613371931
0.00158 -185.61204099164 -4498.6608089466
0.00159 -184.646713251779 -4475.36056903381
0.0016 -183.686424125144 -4452.18194115573
0.00161 -182.720053879109 -4428.85655119342
0.00162 -181.747722523488 -4405.3872961978
0.00163 -180.786212378315 -4382.17921713131
0.00164 -179.824414532718 -4358.96420120435
0.00165 -178.851289010872 -4335.47579984952
0.00166 -177.883619727855 -4312.11909220066
0.00167 -176.921431561328 -4288.89467885605
0.00168 -175.953696579434 -4265.536402081
0.00169 -174.986037963965 -4242.1799772733
0.0017 -174.018518696817 -4218.82692487636
0.00171 -173.051205954937 -4195.4788665605
0.00172 -172.084163684708 -4172.13734602605
0.00173 -171.122979006381 -4148.93720788932
0.00174 -170.156646225816 -4125.61283173925
0.00175 -169.185269644024 -4102.16673543912
0.00176 -168.225440101055 -4078.99933622193
0.00177 -167.266163693508 -4055.84529840246
0.00178 -166.29651353488 -4032.44090426624
0.00179 -165.333082347882 -4009.18661613771
0.0018 -164.375876482452 -3986.08258736434
0.00181 -163.413986829081 -3962.86552942558
0.00182 -162.452964122387 -3939.66940834875
0.00183 -161.492863710461 -3916.4955602372
0.00184 -160.533737674683 -3893.34524235238
0.00185 -159.581106588661 -3870.35169239296
0.00186 -158.62407315432 -3847.25190744929
0.00187 -157.662737624936 -3824.04830760582
0.00188 -156.713494897759 -3801.13657876536
0.00189 -155.765462806804 -3778.25408338794
0.0019 -154.807830421825 -3755.13990373923
0.00191 -153.856997272534 -3732.18983715901
0.00192 -152.912955008736 -3709.40368213078
0.00193 -151.964911181195 -3686.52096711104
0.00194 -151.018348215928 -3663.67400867573
0.00195 -150.073304518661 -3640.8637339655
0.00196 -149.129832522975 -3618.09140863323
0.00197 -148.187974015236 -3595.35804138394
0.00198 -147.253166218447 -3572.79485737144
0.00199 -146.314639145837 -3550.14192786563
0.002 -145.372485309491 -3527.40148603283
0.00201 -144.442885077362 -3504.9640375945
0.00202 -143.515077085778 -3482.5698621239
0.00203 -142.578382246241 -3459.96122542046
0.00204 -141.648983390242 -3437.52869229366
0.00205 -140.726859736637 -3415.27176112728
0.00206 -139.801351455609 -3392.93316268451
0.00207 -138.877853899624 -3370.64311115051
0.00208 -137.956405358598 -3348.40253076263
0.00209 -137.037043399416 -3326.21232830208
0.0021 -136.125128092456 -3304.20186602593
0.00211 -135.210005627161 -3282.11402057418
0.00212 -134.291768691177 -3259.95102925464
0.00213 -133.386390441648 -3238.09839442182
0.00214 -132.483228918176 -3216.29927890076
0.00215 -131.571727008354 -3194.29889383563
0.00216 -130.66786307351 -3172.48286680293
0.00217 -129.771608460513 -3150.85050612804
0.00218 -128.872423458501 -3129.14744310673
0.00219 -127.975630651042 -3107.50213481956
0.0022 -127.081262269745 -3085.91535921549
0.00221 -126.189342328196 -3064.38769592077
0.00222 -125.299891608683 -3042.91964657798
0.00223 -124.418200431056 -3021.63888909108
0.00224 -123.533751599518 -3000.2915988738
0.00225 -122.646622631724 -2978.87964705985
0.00226 -121.772554468157 -2957.78292894802
0.00227 -120.901049989859 -2936.74810466633
0.00228 -120.021691389581 -2915.52374905945
0.00229 -119.15022003405 -2894.48976734883
0.0023 -118.286605070896 -2873.6454147055
0.00231 -117.420446684176 -2852.7397003602
0.00232 -116.556982456415 -2831.89902902912
0.00233 -115.696233732498 -2811.12391586211
0.00234 -114.838216149099 -2790.41473825449
0.00235 -113.988138519516 -2769.89720616744
0.00236 -113.135616225367 -2749.32069621546
0.00237 -112.280722692709 -2728.68698071779
0.00238 -111.438978777852 -2708.37064097434
0.00239 -110.600020575926 -2688.12155367924
0.0024 -109.753562040627 -2667.69147516858
0.00241 -108.91513232825 -2647.4551866751
0.00242 -108.084693065074 -2627.41176180695
0.00243 -107.251966288314 -2607.31315219617
0.00244 -106.42212354863 -2587.28416806144
