t px py theta vx vy omega ax ay alpha 
0.004 0.177801204 -0.04296449117 -0.04283767585 -5.188468921 -3.108902374 -16.62258533 -297.1837442 360.5299745 1864.196425
0.0041 0.1772809999 -0.04327351275 -0.04449025758 -5.214347264 -3.070893674 -16.4256197 -220.4582141 399.1394188 2072.471399
0.0042 0.176758591 -0.04357854532 -0.04612212704 -5.232570876 -3.029170137 -16.20859233 -144.064609 434.8697581 2265.655592
0.0043 0.1762347406 -0.04387923178 -0.04773135356 -5.243184064 -2.984017454 -15.97300216 -68.22495504 467.7654315 2443.952591
0.0044 0.1757102077 -0.04417524271 -0.04931615171 -5.246229007 -2.93570298 -15.72025334 7.186647176 498.0685671 2608.624983
0.0045 0.1751857468 -0.04446627471 -0.05087487284 -5.241750287 -2.884478865 -15.45167189 82.29624338 526.0114808 2760.884854
0.0046 0.1746621085 -0.04475204857 -0.05240599551 -5.229786755 -2.830578122 -15.1684845 156.8850164 551.6285997 2900.886126
0.0047 0.1741400389 -0.04503230772 -0.05390811764 -5.210379522 -2.774219704 -14.87184549 231.1952639 575.2025864 3030.114104
0.0048 0.1736202807 -0.04530681666 -0.05537994823 -5.183566145 -2.715605923 -14.56282285 305.0101878 596.7610272 3148.689013
0.0049 0.1731035725 -0.04557535941 -0.05682029943 -5.149386296 -2.654926074 -14.24241749 378.5727093 616.5709841 3258.016541
0.005 0.1725906492 -0.0458377381 -0.05822807921 -5.107873684 -2.592352775 -13.91154343 451.4393457 634.5371161 3357.560392
0.0051 0.1720821368 -0.04609382427 -0.05960256705 -5.062871556 -2.529941211 -13.58122407 433.2402057 606.2204457 3208.670717
0.0052 0.1715779847 -0.04634383286 -0.06094488587 -5.020472702 -2.470676455 -13.26749783 414.8763934 579.3737447 3067.4219
0.0053 0.1710779811 -0.04658804675 -0.0622565255 -4.979900413 -2.414024128 -12.96751967 396.6619839 553.9317519 2933.496869
0.0054 0.1705819441 -0.0468267203 -0.06353882478 -4.941137841 -2.359847646 -12.68057718 378.5898384 529.7971733 2806.390621
0.0055 0.1700896934 -0.04706009473 -0.06479305421 -4.904172236 -2.308021333 -12.40601489 360.7102342 506.9089175 2685.79105
0.0056 0.1696010499 -0.04728839912 -0.06602042072 -4.868990332 -2.258427342 -12.14321784 342.9602754 485.1594076 2571.134841
0.0057 0.1691158359 -0.04751185109 -0.0672220716 -4.835580571 -2.210955989 -11.89161353 325.2778464 464.450029 2461.905353
0.0058 0.168633875 -0.04773065768 -0.0683990988 -4.803928529 -2.165502983 -11.65065717 307.714537 444.7405975 2357.898997
0.0059 0.1681549917 -0.04794501587 -0.06955254179 -4.774023672 -2.121971976 -11.41984546 290.3786034 426.0206198 2259.071011
0.006 0.1676790121 -0.04815511322 -0.07068339078 -4.745854788 -2.080271921 -11.19870252 273.0396254 408.1331943 2164.587826
0.0061 0.167205763 -0.04836112853 -0.07179259019 -4.719411086 -2.040317099 -10.98678012 255.8066383 391.0781818 2074.45849
0.0062 0.1667350724 -0.04856323225 -0.07288104077 -4.694682164 -2.002026691 -10.78365544 238.7884363 374.8566369 1988.697989
0.0063 0.1662667695 -0.04876158693 -0.07394960192 -4.671657985 -1.965324386 -10.58892906 221.7562886 359.3286943 1906.561599
0.0064 0.1658006841 -0.04895634775 -0.07499909445 -4.650328847 -1.930138008 -10.40222301 204.819642 344.5033273 1828.105487
0.0065 0.1653366472 -0.04914766289 -0.07603030249 -4.630685359 -1.896399193 -10.22317907 188.0876585 330.3898396 1753.387281
0.0066 0.1648744909 -0.04933567379 -0.07704397489 -4.612718421 -1.864043104 -10.05145734 171.3330771 316.8618987 1681.732922
0.0067 0.1644140477 -0.04952051564 -0.07804082776 -4.596419201 -1.833008142 -9.886734715 154.6656006 303.9348937 1613.231704
0.0068 0.1639551515 -0.04970231758 -0.07902154532 -4.581778002 -1.80323528 -9.728701306 138.1386951 291.6018385 1547.852018
0.0069 0.1634976368 -0.04988120305 -0.07998678199 -4.568788711 -1.774669585 -9.577068754 121.6941532 279.8136604 1485.334782
0.007 0.1630413388 -0.05005729004 -0.08093716353 -4.557442075 -1.747257362 -9.431554827 105.2741002 268.5241361 1425.43581
0.0071 0.1625860937 -0.05023069133 -0.0818732883 -4.547729047 -1.720947323 -9.291889762 88.93248985 257.7322325 1368.154426
0.0072 0.1621317385 -0.05040151474 -0.08279572856 -4.539644105 -1.695691651 -9.15782208 72.77890931 247.4585225 1313.606389
